iter	Passed	Remaining
711	6046	2445
712	6050	2435
713	6054	2425
714	6060	2415
715	6064	2405
716	6067	2394
717	6071	2384
718	6076	2374
719	6079	2364
720	6084	2354
721	6089	2344
722	6092	2334
723	6096	2324
724	6100	2313
725	6104	2304
726	6108	2293
727	6111	2283
728	6116	2273
729	6121	2264
730	6125	2254
731	6128	2243
732	6132	2233
733	6136	2223
734	6140	2213
735	6143	2203
736	6148	2194
737	6153	2184
738	6155	2173
739	6159	2163
740	6162	2154
741	6167	2144
742	6171	2134
743	6175	2124
744	6178	2114
745	6183	2105
746	6187	2095
747	6190	2085
748	6194	2075
749	6199	2066
750	6203	2056
751	6207	2047
752	6212	2037
753	6216	2028
754	6219	2018
755	6223	2008
756	6228	1999
757	6231	1989
758	6235	1980
759	6239	1970
760	6244	1961
761	6248	1951
762	6251	1941
763	6255	1932
764	6261	1923
765	6264	1913
766	6268	1904
767	6272	1894
768	6277	1885
769	6281	1876
770	6284	1866
771	6290	1857
772	6294	1848
773	6299	1839
774	6305	1830
775	6309	1821
776	6313	1811
777	6317	1802
778	6323	1793
779	6327	1784
780	6331	1775
781	6336	1766
782	6340	1757
783	6344	1747
784	6347	1738
785	6353	1729
786	6358	1721
787	6363	1712
788	6370	1703
789	6373	1694
790	6378	1685
791	6383	1676
792	6387	1667
793	6391	1658
794	6394	1648
795	6400	1640
796	6405	1631
797	6409	1622
798	6414	1613
799	6418	1604
800	6422	1595
801	6426	1586
802	6432	1578
803	6437	1569
804	6441	1560
805	6446	1551
806	6450	1542
807	6453	1533
808	6455	1524
809	6457	1514
810	6461	1505
811	6464	1496
812	6467	1487
813	6469	1478
814	6472	1469
815	6474	1460
816	6478	1451
817	6481	1442
818	6483	1432
819	6486	1423
820	6489	1414
821	6492	1405
822	6496	1397
823	6498	1388
824	6501	1379
825	6503	1370
826	6505	1360
827	6509	1352
828	6512	1343
829	6515	1334
830	6517	1325
831	6519	1316
832	6522	1307
833	6526	1298
834	6528	1290
835	6530	1281
836	6533	1272
837	6536	1263
838	6538	1254
839	6542	1246
840	6544	1237
841	6547	1228
842	6549	1219
843	6552	1211
844	6555	1202
845	6558	1193
846	6560	1185
847	6563	1176
848	6565	1167
849	6568	1159
850	6572	1150
851	6575	1142
852	6577	1133
853	6580	1125
854	6583	1116
855	6586	1108
856	6589	1099
857	6591	1090
858	6594	1082
859	6596	1073
860	6599	1065
861	6603	1057
862	6606	1048
863	6608	1040
864	6610	1031
865	6613	1023
866	6616	1014
867	6618	1006
868	6621	998
869	6624	989
870	6626	981
871	6629	973
872	6632	964
873	6635	956
874	6637	948
875	6640	939
876	6642	931
877	6645	923
